school_year,level,avg_students_per_class
2024/2025,幼兒,26.5
2024/2025,小學,29.2
2024/2025,中學,29.5
2024/2025,初中,30.5
2024/2025,高中,29.3
2023/2024,幼兒,27.4
2023/2024,小學,30.0
2023/2024,中學,29.5
2023/2024,初中,30.5
2023/2024,高中,28.5
2022/2023,幼兒,28.3
2022/2023,小學,30.2
2022/2023,中學,28.9
2022/2023,初中,30.3
2022/2023,高中,27.5
2021/2022,幼兒,28.6
2021/2022,小學,29.9
2021/2022,中學,28.0
2021/2022,初中,29.7
2021/2022,高中,26.1
2020/2021,幼兒,28.4
2020/2021,小學,29.6
2020/2021,中學,26.9
2020/2021,初中,28.6
2020/2021,高中,25.1
2019/2020,幼兒,28.6
2019/2020,小學,29.3
2019/2020,中學,26.3
2019/2020,初中,27.9
2019/2020,高中,24.7
